title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6.0,-9.222,1.0,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387.0,4.0,3
Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786,202533.0,4.0,3
Back Where I Belong (feat. Avicii),Otto Knows,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,0.497,0.865,0.0,-3.19,1.0,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203.0,4.0,3
Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm,0.709,0.854,0.0,-4.447,0.0,0.0399,0.047,0.0,0.0724,0.826,105.074,224402.0,4.0,2
Danza Kuduro (feat. Don Omar),Lucenzo,spotify:track:1kAZhbcsXqfUjnVeqPywn2,0.706,0.89,0.0,-6.575,1.0,0.0847,0.0855,0.0,0.0465,0.896,130.051,202347.0,4.0,3
Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,0.472,0.815,9.0,-4.002,0.0,0.319,0.171,0.0,0.265,0.81,98.017,230413.0,4.0,5
Coconut Tree,Mohombi,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,0.687,0.855,7.0,-5.341,0.0,0.0416,0.0486,0.0,0.233,0.647,130.029,218373.0,4.0,2
One Less Lonely Girl,Justin Bieber,spotify:track:7qUcqYzOtfZe65bednDxmz,0.58,0.75,4.0,-4.421,1.0,0.194,0.159,0.0,0.274,0.728,86.938,229107.0,4.0,3
Romeo ja Julia (feat. Sophie),Pikku G,spotify:track:0seHreoI3kwp38OlEgLLnT,0.695,0.628,11.0,-6.498,0.0,0.0442,0.0539,0.0,0.32,0.529,144.114,236200.0,4.0,2
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,0.491,0.857,7.0,-2.634,1.0,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,222500.0,4.0,3
Radioactive,Imagine Dragons,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,0.473,0.777,9.0,-3.698,1.0,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813.0,4.0,0
Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,0.0,-5.746,1.0,0.0453,0.0208,0.0,0.29,0.739,103.976,224653.0,4.0,3
I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,8.0,-5.066,1.0,0.0483,0.41,0.0,0.237,0.58,124.989,234507.0,4.0,3
Wake Me Up - Radio Edit,Avicii,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427.0,4.0,3
Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:5YPMEOJ58kfl56VHxTgwx3,0.691,0.921,8.0,-1.702,0.0,0.0533,0.173,0.0,0.331,0.8,130.072,201000.0,4.0,2
Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i,0.49,0.885,3.0,-4.121,1.0,0.0396,0.00218,0.0,0.0741,0.64,166.996,245467.0,4.0,3
Capsize,FRENSHIP,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,0.681,0.708,5.0,-6.019,0.0,0.0304,0.042,0.14,0.682,0.356,92.993,237760.0,4.0,0
Magical,Tungevaag,spotify:track:43lwHSTEexXRVVeXZtAtfi,0.504,0.912,1.0,-2.867,1.0,0.259,0.199,0.0,0.105,0.248,189.983,218539.0,4.0,5
Drop That Low (When I Dip),Tujamo,spotify:track:48kF7W23OIcVBsNY5UesuQ,0.579,0.896,5.0,-4.132,0.0,0.373,0.00945,0.836,0.121,0.103,125.672,160000.0,4.0,5
